pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_insol,st_teff,pl_eqt,pl_tranmid,st_rad,st_mass
Kepler-496 b,8.30865307000,0.0747000000,2.42000000,73.5300,5022.00,747.00,2454971.10788000,0.849000,0.804000
Kepler-1132 b,62.89174930000,0.2881000000,2.50000000,5.1300,5052.00,384.00,2454972.12778000,0.855000,0.805000
Kepler-1236 b,31.05716180000,0.1799000000,1.92000000,13.3000,5422.00,487.00,2454980.56290000,0.746000,0.805000
Kepler-1236 b,31.05716180000,0.1799000000,1.92000000,13.3000,5422.00,487.00,2454980.56290000,0.746000,0.805000
Kepler-1236 b,31.05716180000,0.1799000000,1.92000000,13.3000,5422.00,487.00,2454980.56290000,0.746000,0.805000
Kepler-1242 b,13.62798432000,0.1039000000,2.61000000,39.4800,5052.00,639.00,2454968.45049000,0.855000,0.805000
Kepler-1242 b,13.62798432000,0.1039000000,2.61000000,39.4800,5052.00,639.00,2454968.45049000,0.855000,0.805000
Kepler-1242 b,13.62801048000,0.1039000000,3.28000000,39.4800,5052.00,639.00,2454968.45073000,0.855000,0.805000
Kepler-1242 b,13.62798432000,0.1039000000,2.61000000,39.4800,5052.00,639.00,2454968.45049000,0.855000,0.805000
Kepler-196 b,20.73989406000,0.1375000000,2.11000000,19.4700,5132.00,536.00,2455006.21912000,0.770000,0.805000
Kepler-196 c,47.42771160000,0.2387000000,2.33000000,6.4600,5132.00,407.00,2455049.55737000,0.770000,0.805000
Kepler-196 d,122.08049530000,0.4484000000,2.92000000,1.8300,5132.00,297.00,2454988.02532000,0.770000,0.805000
Kepler-736 b,3.60146533600,0.0428000000,2.31000000,232.6500,5052.00,996.00,2455004.99184000,0.855000,0.805000
Kepler-99 b,4.60357529300,0.0503000000,1.51000000,101.6500,4783.00,810.00,2455004.84012400,0.741000,0.805000
Kepler-102 b,5.28691996000,0.0552000000,0.51000000,92.9700,4900.00,792.00,2454968.85427000,0.741000,0.806000
Kepler-102 c,7.07136119000,0.0670000000,0.63000000,63.1100,4900.00,719.00,2454972.98763000,0.741000,0.806000
Kepler-102 d,10.31174786000,0.0862000000,1.34000000,38.1300,4900.00,634.00,2454967.07991000,0.741000,0.806000
Kepler-102 e,16.14567193200,0.1162000000,2.48000000,20.9800,4900.00,546.00,2454967.75487700,0.741000,0.806000
Kepler-102 f,27.45361460000,0.1655000000,0.95000000,10.3400,4900.00,457.00,2454978.02866000,0.741000,0.806000
Kepler-1064 b,16.54081386000,0.1183000000,1.57000000,24.8700,5064.00,570.00,2454966.95274000,0.769000,0.806000
Kepler-1076 b,6.14727918000,0.0611000000,0.81000000,83.1200,4996.00,770.00,2454967.87409000,0.746000,0.806000
Kepler-1076 b,6.14727918000,0.0611000000,0.81000000,83.1200,4996.00,770.00,2454967.87409000,0.746000,0.806000
Kepler-1076 b,6.14728341000,0.0611000000,0.79000000,83.1800,4997.00,770.00,2454967.87289000,0.746000,0.806000
Kepler-1076 b,6.14727918000,0.0611000000,0.81000000,83.1200,4996.00,770.00,2454967.87409000,0.746000,0.806000
Kepler-1384 b,15.36262753000,0.1126000000,2.21000000,32.2300,5011.00,608.00,2454978.57227000,0.851000,0.806000
Kepler-1384 b,15.36262753000,0.1126000000,2.21000000,32.2300,5011.00,608.00,2454978.57227000,0.851000,0.806000
Kepler-1384 b,15.36262753000,0.1126000000,2.21000000,32.2300,5011.00,608.00,2454978.57227000,0.851000,0.806000
Kepler-1384 b,15.36260520000,0.1126000000,1.80000000,32.2300,5011.00,608.00,2454978.57320000,0.851000,0.806000
Kepler-1490 b,92.43629730000,0.3726000000,2.59000000,3.5100,5598.00,349.00,2454996.58830000,0.745000,0.806000
Kepler-1490 b,92.43629730000,0.3726000000,2.59000000,3.5100,5598.00,349.00,2454996.58830000,0.745000,0.806000
Kepler-1490 b,92.43629730000,0.3726000000,2.59000000,3.5100,5598.00,349.00,2454996.58830000,0.745000,0.806000
Kepler-169 b,3.25058201000,0.0400000000,1.19000000,202.0900,5001.00,962.00,2454966.69472000,0.760000,0.806000
Kepler-169 c,6.19545950000,0.0614000000,1.37000000,85.7700,5001.00,776.00,2454967.71507000,0.760000,0.806000
Kepler-169 d,8.34819209000,0.0750000000,1.45000000,57.4800,5001.00,702.00,2454969.84111000,0.760000,0.806000
Kepler-169 e,13.76710058000,0.1046000000,2.24000000,29.5500,5001.00,595.00,2455007.81089000,0.760000,0.806000
Kepler-169 f,87.09125940000,0.3579000000,2.95000000,2.5200,5001.00,321.00,2455020.31231000,0.760000,0.806000
Kepler-1870 b,3.60694152600,0.0428000000,2.03000000,455.3200,5587.00,1178.00,2454967.77438300,0.978000,0.806000
